GPL	Model	Metric	Value	GeneIdx
TCGA	SampleLASSO	cvrmse	0.15562117853736868	0
TCGA	SampleLASSO	cvrmse	0.30389424706468937	1
TCGA	SampleLASSO	cvrmse	0.2428358883908373	2
TCGA	SampleLASSO	cvrmse	0.07998102723590356	3
TCGA	SampleLASSO	cvrmse	0.2300487161057459	4
TCGA	SampleLASSO	cvrmse	0.1050170232482217	5
TCGA	SampleLASSO	cvrmse	0.15790442351354556	6
TCGA	SampleLASSO	cvrmse	0.3213586024259381	7
TCGA	SampleLASSO	cvrmse	0.3170762758187391	8
TCGA	SampleLASSO	cvrmse	0.061584995701189325	9
TCGA	SampleLASSO	cvrmse	0.4251518883000493	10
TCGA	SampleLASSO	cvrmse	0.062317276144282764	11
TCGA	SampleLASSO	cvrmse	0.09209221687793173	12
TCGA	SampleLASSO	cvrmse	0.15886194527030215	13
TCGA	SampleLASSO	cvrmse	0.0757009770228225	14
TCGA	SampleLASSO	cvrmse	0.1557605939670081	15
TCGA	SampleLASSO	cvrmse	0.20240370998351298	16
TCGA	SampleLASSO	cvrmse	0.2633667319940969	17
TCGA	SampleLASSO	cvrmse	0.09857022685618212	18
TCGA	SampleLASSO	cvrmse	0.0649953678615521	19
TCGA	SampleLASSO	cvrmse	0.11487816279112747	20
TCGA	SampleLASSO	cvrmse	0.2689756463255035	21
TCGA	SampleLASSO	cvrmse	0.5772955918441671	22
TCGA	SampleLASSO	cvrmse	0.19795092760821376	23
TCGA	SampleLASSO	cvrmse	0.0714248254236484	24
TCGA	SampleLASSO	cvrmse	0.971856833706206	25
TCGA	SampleLASSO	cvrmse	0.1780244978499822	26
TCGA	SampleLASSO	cvrmse	0.2037558913279968	27
TCGA	SampleLASSO	cvrmse	0.09348127337153224	28
TCGA	SampleLASSO	cvrmse	0.209981794188837	29
TCGA	SampleLASSO	cvrmse	0.13085194774211126	30
TCGA	SampleLASSO	cvrmse	0.10696395567990777	31
TCGA	SampleLASSO	cvrmse	0.9643776016633264	32
TCGA	SampleLASSO	cvrmse	0.08951099262781945	33
TCGA	SampleLASSO	cvrmse	0.06151326904716325	34
TCGA	SampleLASSO	cvrmse	0.05851079989474463	35
TCGA	SampleLASSO	cvrmse	0.1719357589551675	36
TCGA	SampleLASSO	cvrmse	0.03574869422011843	37
TCGA	SampleLASSO	cvrmse	0.0691791513311189	38
TCGA	SampleLASSO	cvrmse	0.2919571840452839	39
TCGA	SampleLASSO	cvrmse	0.08468773962772226	40
TCGA	SampleLASSO	cvrmse	0.17143090839578767	41
TCGA	SampleLASSO	cvrmse	0.06282821712175055	42
TCGA	SampleLASSO	cvrmse	0.5935169464903082	43
TCGA	SampleLASSO	cvrmse	0.059003467335688724	44
TCGA	SampleLASSO	cvrmse	0.1000132603315012	45
TCGA	SampleLASSO	cvrmse	0.2760146976694733	46
TCGA	SampleLASSO	cvrmse	0.05838019448230605	47
TCGA	SampleLASSO	cvrmse	0.4791980256864655	48
TCGA	SampleLASSO	cvrmse	0.03515293581529046	49
TCGA	SampleLASSO	cvrmse	0.7030495521333407	50
TCGA	SampleLASSO	cvrmse	0.15347760075172492	51
TCGA	SampleLASSO	cvrmse	0.07379873601966241	52
